Beta,Avg Plaq,Plaq Sus,Jackknife Action SD,Jackknife Sus SD
0.43309234234234234,0.4804659904142149,0.0002537824503750663,0.00040644415197957465,7.096124116720664e-06
0.43309284284284283,0.4804669781146391,0.00025378582316553115,0.0004064529624304356,7.096629026584289e-06
0.4330933433433433,0.48046796582818996,0.0002537891960322731,0.00040646177499036566,7.097133998557759e-06
0.43309384384384386,0.4804689535548678,0.00025379256897529773,0.0004064705896596946,7.0976390326449205e-06
0.43309434434434435,0.4804699412946728,0.0002537959419946109,0.00040647940643853854,7.098144128849506e-06
0.43309484484484484,0.48047092904760563,0.0002537993150902186,0.00040648822532731707,7.098649287175515e-06
0.43309534534534533,0.48047191681366613,0.00025380268826212635,0.00040649704632619773,7.099154507626705e-06
0.4330958458458458,0.48047290459285485,0.00025380606151034,0.000406505869435472,7.099659790206847e-06
0.43309634634634636,0.4804738923851721,0.0002538094348348654,0.0004065146946552663,7.100165134919767e-06
0.43309684684684685,0.4804748801906179,0.0002538128082357083,0.0004065235219860546,7.100670541769497e-06
0.43309734734734734,0.4804758680091929,0.00025381618171287454,0.00040653235142795437,7.101176010759575e-06
0.4330978478478478,0.48047685584089733,0.0002538195552663699,0.00040654118298120187,7.101681541893993e-06
0.43309834834834837,0.48047784368573143,0.0002538229288962002,0.0004065500166461278,7.10218713517654e-06
0.43309884884884886,0.4804788315436953,0.0002538263026023711,0.0004065588524227938,7.102692790611125e-06
0.43309934934934935,0.48047981941478957,0.0002538296763848885,0.0004065676903118165,7.103198508201452e-06
0.43309984984984984,0.4804808072990144,0.0002538330502437582,0.00040657653031302984,7.1037042879514275e-06
0.4331003503503503,0.48048179519636997,0.00025383642417898584,0.0004065853724269368,7.104210129864916e-06
0.43310085085085087,0.4804827831068567,0.00025383979819057744,0.0004065942166537131,7.104716033945644e-06
0.43310135135135136,0.4804837710304749,0.00025384317227853867,0.00040660306299358204,7.105222000197581e-06
0.43310185185185185,0.4804847589672248,0.0002538465464428753,0.00040661191144689444,7.105728028624442e-06
0.43310235235235234,0.48048574691710677,0.0002538499206835932,0.0004066207620139079,7.106234119230137e-06
0.4331028528528528,0.48048673488012106,0.0002538532950006982,0.000406629614694584,7.106740272018415e-06
0.43310335335335337,0.48048772285626784,0.00025385666939419595,0.00040663846948962184,7.107246486993227e-06
0.43310385385385386,0.48048871084554784,0.00025386004386409244,0.000406647326398923,7.107752764158254e-06
0.43310435435435435,0.48048969884796083,0.0002538634184103933,0.00040665618542298163,7.108259103517517e-06
0.43310485485485484,0.4804906868635074,0.0002538667930331044,0.0004066650465617912,7.108765505074733e-06
0.4331053553553553,0.48049167489218775,0.0002538701677322315,0.00040667390981583316,7.10927196883372e-06
0.43310585585585587,0.48049266293400233,0.0002538735425077805,0.00040668277518523415,7.109778494798338e-06
0.43310635635635636,0.48049365098895125,0.00025387691735975716,0.0004066916426703149,7.110285082972449e-06
0.43310685685685685,0.4804946390570348,0.0002538802922881672,0.0004067005122712114,7.110791733359927e-06
0.43310735735735734,0.48049562713825344,0.0002538836672930165,0.0004067093839883191,7.11129844596454e-06
0.4331078578578579,0.48049661523260734,0.0002538870423743109,0.000406718257821769,7.1118052207900904e-06
0.43310835835835837,0.48049760334009683,0.00025389041753205596,0.00040672713377192134,7.112312057840504e-06
0.43310885885885886,0.48049859146072227,0.00025389379276625785,0.0004067360118389371,7.112818957119578e-06
0.43310935935935935,0.4804995795944838,0.00025389716807692206,0.0004067448920230855,7.113325918631137e-06
0.43310985985985984,0.480500567741382,0.0002539005434640547,0.000406753774324635,7.113832942378993e-06
0.4331103603603604,0.48050155590141674,0.00025390391892766127,0.0004067626587439236,7.114340028367089e-06
0.43311086086086087,0.480502544074589,0.00025390729446774787,0.0004067715452810698,7.1148471765991344e-06
0.43311136136136136,0.4805035322608983,0.00025391067008432005,0.00040678043393644334,7.115354387079063e-06
0.43311186186186185,0.4805045204603453,0.0002539140457773838,0.0004067893247101642,7.115861659810691e-06
0.43311236236236234,0.4805055086729303,0.00025391742154694475,0.00040679821760248523,7.1163689947979086e-06
0.4331128628628629,0.48050649689865366,0.00025392079739300886,0.0004068071126138006,7.1168763920443815e-06
0.43311336336336337,0.4805074851375155,0.0002539241733155819,0.00040681600974423656,7.117383851554136e-06
0.43311386386386386,0.48050847338951636,0.0002539275493146697,0.00040682490899410164,7.117891373330817e-06
0.43311436436436435,0.4805094616546562,0.000253930925390278,0.0004068338103636378,7.118398957378533e-06
0.43311486486486483,0.4805104499329358,0.0002539343015424127,0.0004068427138529872,7.118906603700869e-06
0.4331153653653654,0.4805114382243549,0.0002539376777710796,0.0004068516194626501,7.119414312301786e-06
0.43311586586586587,0.480512426528914,0.00025394105407628434,0.0004068605271927617,7.119922083185247e-06
0.43311636636636636,0.48051341484661375,0.0002539444304580331,0.00040686943704341597,7.120429916354774e-06
0.43311686686686685,0.480514403177454,0.0002539478069163313,0.00040687834901506273,7.120937811814453e-06
0.4331173673673674,0.4805153915214352,0.0002539511834511849,0.0004068872631078857,7.121445769568121e-06
0.4331178678678679,0.48051637987855766,0.0002539545600625999,0.0004068961793221253,7.121953789619489e-06
0.43311836836836837,0.4805173682488218,0.00025395793675058186,0.00040690509765799936,7.122461871972473e-06
0.43311886886886886,0.48051835663222775,0.0002539613135151368,0.0004069140181158761,7.1229700166309065e-06
0.43311936936936934,0.4805193450287757,0.0002539646903562703,0.00040692294069594214,7.123478223598745e-06
0.4331198698698699,0.4805203334384662,0.00025396806727398833,0.00040693186539842173,7.123986492879635e-06
0.4331203703703704,0.4805213218612994,0.0002539714442682967,0.00040694079222351607,7.124494824477607e-06
0.43312087087087087,0.4805223102972757,0.0002539748213392013,0.00040694972117167363,7.125003218396388e-06
0.43312137137137136,0.48052329874639543,0.0002539781984867079,0.00040695865224298436,7.125511674639714e-06
0.43312187187187184,0.4805242872086586,0.0002539815757108222,0.0004069675854376962,7.126020193211717e-06
0.4331223723723724,0.48052527568406594,0.00025398495301155017,0.0004069765207561879,7.126528774115995e-06
0.4331228728728729,0.4805262641726174,0.0002539883303888976,0.0004069854581984892,7.127037417356521e-06
0.43312337337337337,0.4805272526743133,0.0002539917078428702,0.00040699439776518644,7.127546122937113e-06
0.43312387387387385,0.48052824118915405,0.00025399508537347394,0.00040700333945619256,7.128054890861621e-06
0.43312437437437434,0.4805292297171402,0.0002539984629807146,0.0004070122832719154,7.128563721133788e-06
0.4331248748748749,0.4805302182582716,0.000254001840664598,0.0004070212292126081,7.1290726137575775e-06
0.4331253753753754,0.4805312068125486,0.00025400521842512994,0.0004070301772784639,7.129581568736921e-06
0.43312587587587587,0.48053219537997177,0.0002540085962623163,0.00040703912746992664,7.130090586075422e-06
0.43312637637637635,0.4805331839605411,0.00025401197417616276,0.0004070480797869968,7.130599665777167e-06
0.4331268768768769,0.48053417255425723,0.0002540153521666754,0.0004070570342299828,7.131108807845814e-06
0.4331273773773774,0.4805351611611203,0.00025401873023385993,0.00040706599079930547,7.1316180122852995e-06
0.4331278778778779,0.4805361497811305,0.00025402210837772196,0.00040707494949509464,7.132127279099454e-06
0.43312837837837836,0.48053713841428836,0.00025402548659826766,0.00040708391031741057,7.132636608292109e-06
0.43312887887887885,0.48053812706059384,0.0002540288648955027,0.00040709287326695653,7.133145999867171e-06
0.4331293793793794,0.48053911572004765,0.000254032243269433,0.0004071018383435901,7.13365545382845e-06
0.4331298798798799,0.4805401043926498,0.00025403562172006416,0.0004071108055477422,7.134164970179757e-06
0.4331303803803804,0.48054109307840054,0.0002540390002474023,0.0004071197748796273,7.13467454892503e-06
0.43313088088088086,0.4805420817773004,0.00025404237885145314,0.00040712874633952483,7.135184190068065e-06
0.43313138138138135,0.4805430704893496,0.0002540457575322224,0.0004071377199275638,7.135693893612695e-06
0.4331318818818819,0.48054405921454824,0.000254049136289716,0.00040714669564414493,7.136203659562856e-06
0.4331323823823824,0.48054504795289704,0.0002540525151239399,0.0004071556734895246,7.136713487922203e-06
0.4331328828828829,0.4805460367043959,0.00025405589403489976,0.00040716465346382017,7.137223378694831e-06
0.43313338338338336,0.48054702546904526,0.00025405927302260144,0.00040717363556740804,7.137733331884467e-06
0.43313388388388385,0.4805480142468456,0.0002540626520870508,0.00040718261980045187,7.138243347494901e-06
0.4331343843843844,0.48054900303779674,0.0002540660312282537,0.0004071916061633081,7.138753425530163e-06
0.4331348848848849,0.48054999184189945,0.000254069410446216,0.00040720059465609686,7.139263565993918e-06
0.4331353853853854,0.48055098065915397,0.00025407278974094353,0.0004072095852792864,7.1397737688900855e-06
0.43313588588588586,0.4805519694895603,0.00025407616911244204,0.0004072185780328304,7.140284034222552e-06
