beta,avg_plaq,plaq_var,avg_sus,sus_var,binder_cum,binder_var
0.436,0.487583,2.89326e-08,0.000570212,1.82404e-11,-0.0701861,0.000148871
0.43601,0.487604,2.89589e-08,0.000570362,1.82699e-11,-0.0702144,0.000149322
0.43602,0.487626,2.89852e-08,0.000570513,1.82994e-11,-0.0702427,0.000149775
0.43603,0.487647,2.90117e-08,0.000570663,1.83291e-11,-0.070271,0.000150229
0.43604,0.487668,2.90382e-08,0.000570814,1.83589e-11,-0.0702993,0.000150685
0.43605,0.48769,2.90649e-08,0.000570965,1.83888e-11,-0.0703276,0.000151142
0.43606,0.487711,2.90916e-08,0.000571115,1.84188e-11,-0.0703559,0.000151601
0.43607,0.487733,2.91184e-08,0.000571266,1.8449e-11,-0.0703841,0.000152062
0.43608,0.487754,2.91453e-08,0.000571417,1.84793e-11,-0.0704124,0.000152524
0.43609,0.487776,2.91723e-08,0.000571569,1.85098e-11,-0.0704406,0.000152988
0.4361,0.487797,2.91994e-08,0.00057172,1.85403e-11,-0.0704688,0.000153454
0.43611,0.487818,2.92266e-08,0.000571871,1.8571e-11,-0.070497,0.000153922
0.43612,0.48784,2.92539e-08,0.000572023,1.86018e-11,-0.0705252,0.000154391
0.43613,0.487861,2.92813e-08,0.000572174,1.86328e-11,-0.0705534,0.000154861
0.43614,0.487883,2.93087e-08,0.000572326,1.86639e-11,-0.0705816,0.000155334
0.43615,0.487904,2.93363e-08,0.000572478,1.86951e-11,-0.0706097,0.000155808
0.43616,0.487926,2.9364e-08,0.00057263,1.87264e-11,-0.0706379,0.000156284
0.43617,0.487947,2.93917e-08,0.000572781,1.87579e-11,-0.070666,0.000156761
0.43618,0.487969,2.94195e-08,0.000572934,1.87895e-11,-0.0706941,0.00015724
0.43619,0.48799,2.94475e-08,0.000573086,1.88212e-11,-0.0707222,0.000157721
0.4362,0.488012,2.94755e-08,0.000573238,1.88531e-11,-0.0707503,0.000158204
0.43621,0.488033,2.95036e-08,0.00057339,1.88851e-11,-0.0707784,0.000158688
0.43622,0.488055,2.95318e-08,0.000573543,1.89173e-11,-0.0708065,0.000159174
0.43623,0.488076,2.95601e-08,0.000573695,1.89495e-11,-0.0708346,0.000159662
