beta,avg_plaq,plaq_var,avg_sus,sus_var
0.43443,0.762432,6.38136e-06,0.0391011,1.01998e-07
0.43444,0.762622,6.37414e-06,0.0390788,1.02366e-07
0.43445,0.762812,6.36692e-06,0.0390564,1.02734e-07
0.43446,0.763001,6.35969e-06,0.039034,1.03102e-07
0.43447,0.763191,6.35244e-06,0.0390116,1.03469e-07
0.43448,0.763381,6.34519e-06,0.0389891,1.03836e-07
0.43449,0.76357,6.33792e-06,0.0389665,1.04203e-07
0.4345,0.763759,6.33065e-06,0.0389439,1.04569e-07
0.43451,0.763949,6.32336e-06,0.0389213,1.04935e-07
0.43452,0.764138,6.31606e-06,0.0388986,1.053e-07
0.43453,0.764327,6.30876e-06,0.0388759,1.05666e-07
0.43454,0.764516,6.30144e-06,0.0388531,1.0603e-07
0.43455,0.764704,6.29411e-06,0.0388303,1.06395e-07
0.43456,0.764893,6.28678e-06,0.0388074,1.06759e-07
0.43457,0.765082,6.27943e-06,0.0387845,1.07122e-07
0.43458,0.76527,6.27207e-06,0.0387616,1.07486e-07
0.43459,0.765458,6.26471e-06,0.0387386,1.07848e-07
0.4346,0.765647,6.25733e-06,0.0387156,1.08211e-07
0.43461,0.765835,6.24995e-06,0.0386925,1.08572e-07
0.43462,0.766023,6.24255e-06,0.0386694,1.08934e-07
0.43463,0.766211,6.23515e-06,0.0386463,1.09295e-07
0.43464,0.766398,6.22773e-06,0.0386231,1.09655e-07
0.43465,0.766586,6.22031e-06,0.0385998,1.10015e-07
0.43466,0.766773,6.21288e-06,0.0385766,1.10375e-07
0.43467,0.766961,6.20544e-06,0.0385532,1.10734e-07
0.43468,0.767148,6.19798e-06,0.0385299,1.11093e-07
0.43469,0.767335,6.19052e-06,0.0385065,1.11451e-07
0.4347,0.767522,6.18306e-06,0.038483,1.11808e-07
0.43471,0.767709,6.17558e-06,0.0384596,1.12165e-07
0.43472,0.767896,6.16809e-06,0.038436,1.12522e-07
0.43473,0.768083,6.1606e-06,0.0384125,1.12878e-07
0.43474,0.76827,6.15309e-06,0.0383889,1.13233e-07
0.43475,0.768456,6.14558e-06,0.0383652,1.13588e-07
0.43476,0.768643,6.13806e-06,0.0383415,1.13943e-07
0.43477,0.768829,6.13053e-06,0.0383178,1.14296e-07
0.43478,0.769015,6.12299e-06,0.0382941,1.1465e-07
0.43479,0.769201,6.11545e-06,0.0382703,1.15002e-07
0.4348,0.769387,6.10789e-06,0.0382464,1.15354e-07
0.43481,0.769573,6.10033e-06,0.0382225,1.15706e-07
0.43482,0.769759,6.09276e-06,0.0381986,1.16057e-07
0.43483,0.769944,6.08518e-06,0.0381746,1.16407e-07
0.43484,0.77013,6.07759e-06,0.0381506,1.16756e-07
0.43485,0.770315,6.07e-06,0.0381266,1.17106e-07
0.43486,0.7705,6.06239e-06,0.0381025,1.17454e-07
0.43487,0.770685,6.05478e-06,0.0380784,1.17802e-07
0.43488,0.77087,6.04716e-06,0.0380543,1.18149e-07
0.43489,0.771055,6.03954e-06,0.0380301,1.18495e-07
0.4349,0.77124,6.0319e-06,0.0380058,1.18841e-07
